image_id,path,question,answer,difficulty
71-TsCuqUAL,ca/cae1c478.jpg,How is the case's design described?,Stylish,0
71-TsCuqUAL,ca/cae1c478.jpg,What is the model number of the phone?,V1,0
71IflQ-ISjL,22/22432b64.jpg,What phone is the case designed for?,Y81i,1
71IflQ-ISjL,22/22432b64.jpg,What covers the phone?,Case,0
71IflQ-ISjL,22/22432b64.jpg,What shape are the eyes?,Oval,0
71IflQ-ISjL,22/22432b64.jpg,What is the color of the phone case?,Blue,1
71IflQ-ISjL,22/22432b64.jpg,How many ports are mentioned?,Three,1
71NNWwn2RdL,2a/2a9acc55.jpg,Which brand is the phone case compatible with?,Xiaomi,0
71NNWwn2RdL,2a/2a9acc55.jpg,What creature is pictured on the phone case?,Snake,0
71NNWwn2RdL,2a/2a9acc55.jpg,What color are the vertical stripes?,Red,0
71NNWwn2RdL,2a/2a9acc55.jpg,How many cameras are visible on the case?,Five,0
71NNWwn2RdL,2a/2a9acc55.jpg,What part of the phone is the raised bezel protecting?,Camera,1
61Eu6qUq84L,a0/a0b7013f.jpg,Which phone is the case designed for?,Lyf,1
61Eu6qUq84L,a0/a0b7013f.jpg,What color is predominantly displayed on the phone case's screen?,Black,1
61Eu6qUq84L,a0/a0b7013f.jpg,What component does the case feature raised bezels for?,Camera,0
61Eu6qUq84L,a0/a0b7013f.jpg,What material is ideal to put and take off the phone case?,Cutouts,0
61Eu6qUq84L,a0/a0b7013f.jpg,How many volume buttons can the phone case support?,Two,0
811xi+ecxOL,43/4398c320.jpg,What is the product type?,Case,0
811xi+ecxOL,43/4398c320.jpg,What is the case's material?,Hard,1
811xi+ecxOL,43/4398c320.jpg,Which phone is the case for?,Vivo,1
811xi+ecxOL,43/4398c320.jpg,How are the buttons cut?,Perfect,1
811xi+ecxOL,43/4398c320.jpg,What color is prevalent?,Red,1
9158j1GfybL,75/7502b754.jpg,What brand name appears on the ball?,Amazonbasics,0
9158j1GfybL,75/7502b754.jpg,What is the predominant color of the ball?,Purple,0
9158j1GfybL,75/7502b754.jpg,What is printed inside the white rectangle?,Fourteen,3
9158j1GfybL,75/7502b754.jpg,What is the overall shape of the product?,Sphere,1
9158j1GfybL,75/7502b754.jpg,What material is used for gripping?,Rubber,0
71r5S5OG3JL,87/87128fb4.jpg,What filling material is in the comforter?,Polyester,0
71r5S5OG3JL,87/87128fb4.jpg,What percentage of microfibre is the shell?,Hundred,0
71r5S5OG3JL,87/87128fb4.jpg,What pattern is used on the comforter?,Stitched,0
71r5S5OG3JL,87/87128fb4.jpg,What color is described as 'cheery'?,Yellow,0
71r5S5OG3JL,87/87128fb4.jpg,What is the comforter's width in centimeters?,150,0
91J8sWZrJtL,ea/ea679a7f.jpg,What type of arm does the sofa have?,Roll,2
91J8sWZrJtL,ea/ea679a7f.jpg,What is the sofa's material?,Polyester,1
91J8sWZrJtL,ea/ea679a7f.jpg,What is the sofa's width?,Eighty-two,1
91J8sWZrJtL,ea/ea679a7f.jpg,What is the height of the front legs?,Five-point-twenty-five,1
91J8sWZrJtL,ea/ea679a7f.jpg,What is the assembly time?,Fifteen,0
71w29iPatBL,ee/eeb346cb.jpg,What type of animal is the motif?,Cat,1
71w29iPatBL,ee/eeb346cb.jpg,What is the motif's height in centimeters?,1.9,0
71w29iPatBL,ee/eeb346cb.jpg,What is the length of the adjuster in centimeters?,3,0
71w29iPatBL,ee/eeb346cb.jpg,What is the total length of the necklace in centimeters?,40,0
71w29iPatBL,ee/eeb346cb.jpg,What is the color of the necklace?,Gold,1
71JxOM9B+pL,d6/d62af780.jpg,What material is the case made of?,Hard,0
71JxOM9B+pL,d6/d62af780.jpg,What is the design on the cover?,Monster,1
71JxOM9B+pL,d6/d62af780.jpg,For what brand of phone is this case designed?,Micromax,0
71JxOM9B+pL,d6/d62af780.jpg,Which Canvas series phone is this cover for?,Nitro,0
71JxOM9B+pL,d6/d62af780.jpg,What kind of ports does the design allow access to?,Charging,0
71UaZvECZRL,2a/2a00204d.jpg,What material is used to make the outer part of the bulb?,Glass,1
71UaZvECZRL,2a/2a00204d.jpg,What is the color of the filaments?,Yellow,0
71UaZvECZRL,2a/2a00204d.jpg,How many bulbs are in the image?,Two,1
71UaZvECZRL,2a/2a00204d.jpg,What shape is the lightbulb?,Teardrop,0
71UaZvECZRL,2a/2a00204d.jpg,What is the base of the lightbulb made of?,Metal,0
61H6TBW4ZYL,89/89ef545a.jpg,What color is on the left side of the case?,Pink,3
61H6TBW4ZYL,89/89ef545a.jpg,Which phone model is the case designed for?,Samsung,0
61H6TBW4ZYL,89/89ef545a.jpg,What are the round things at the end of the headphone wire called?,Earcups,1
61H6TBW4ZYL,89/89ef545a.jpg,What type of buttons are the cutouts made for?,Volume,1
61H6TBW4ZYL,89/89ef545a.jpg,What is raised to lift the camera?,Bezel,0
516OHgI0KpL,0d/0d8462eb.jpg,What shape is the table surface?,Square,0
516OHgI0KpL,0d/0d8462eb.jpg,What material is the table primarily made of?,Wood,5
516OHgI0KpL,0d/0d8462eb.jpg,How many legs support the table?,Four,0
516OHgI0KpL,0d/0d8462eb.jpg,What is positioned below the main table surface?,Shelf,1
516OHgI0KpL,0d/0d8462eb.jpg,What is the table's color?,Beige,0
71YSr95xL7L,69/69bdb27f.jpg,What is the shape of the glass top?,Square,0
71YSr95xL7L,69/69bdb27f.jpg,What material is the frame made of?,Metal,1
71YSr95xL7L,69/69bdb27f.jpg,What finish is on the metal frame?,Gold,0
71YSr95xL7L,69/69bdb27f.jpg,How many shelves does the table have?,Two,0
71YSr95xL7L,69/69bdb27f.jpg,What is the table's height in inches?,15.7,0
71eA1sU+HqL,a6/a647cf44.jpg,Which phone model is this case designed for?,Y71,0
71eA1sU+HqL,a6/a647cf44.jpg,What is the Eiffel Tower made of?,Iron,0
71eA1sU+HqL,a6/a647cf44.jpg,What is the dominant color in the top section of the case design?,Blue,0
71eA1sU+HqL,a6/a647cf44.jpg,What are the cut-outs designed for?,Buttons,1
71eA1sU+HqL,a6/a647cf44.jpg,Which city's clock tower is shown?,London,0
71Cr7mS9g+L,e0/e0b8df18.jpg,What color is the chevron pattern?,Pink,0
71Cr7mS9g+L,e0/e0b8df18.jpg,What avian creature is featured?,Owl,0
71Cr7mS9g+L,e0/e0b8df18.jpg,What type of material is used for the case?,Hard,2
71Cr7mS9g+L,e0/e0b8df18.jpg,How many decades are implied in the phone name?,Two,1
71Cr7mS9g+L,e0/e0b8df18.jpg,What feature is raised for camera protection?,Bezel,0
71NzelZ-cXL,96/96727408.jpg,What is the primary color of the phone case?,Pink,1
71NzelZ-cXL,96/96727408.jpg,Which brand of phone is this case for?,LG,0
71NzelZ-cXL,96/96727408.jpg,What word is written in a script font?,Girl,0
71NzelZ-cXL,96/96727408.jpg,What is the case's intended fit type?,Snug,0
71NzelZ-cXL,96/96727408.jpg,How many volume buttons can the case accommodate?,Two,2
61Yy1AOYdZL,37/373f7ccb.jpg,What brand is on the battery?,Amazonbasics,1
61Yy1AOYdZL,37/373f7ccb.jpg,What color is the top of the battery?,Green,1
61Yy1AOYdZL,37/373f7ccb.jpg,What type of battery is pictured?,Rechargeable,1
61Yy1AOYdZL,37/373f7ccb.jpg,What is the battery's mAh rating?,5000,0
61Yy1AOYdZL,37/373f7ccb.jpg,What battery size is shown?,C,1
B1vtcrAQ91S,34/3410e4b6.jpg,What is the general tone of the pictured material?,Neutral,1
B1vtcrAQ91S,34/3410e4b6.jpg,What material could have this weave pattern?,Fabric,1
B1vtcrAQ91S,34/3410e4b6.jpg,What color is the shown background?,Grey,2
B1vtcrAQ91S,34/3410e4b6.jpg,What is the texture like?,Woven,2
B1vtcrAQ91S,34/3410e4b6.jpg,How many dominant colors appear?,One,0
61K4lJ7cvsL,da/dad8a355.jpg,What is the phone case brand designed for?,Oppo,1
61K4lJ7cvsL,da/dad8a355.jpg,What adjective describes the design's appearance?,Stylish,0
61K4lJ7cvsL,da/dad8a355.jpg,What part has cutouts on the phone case?,Volume,3
61K4lJ7cvsL,da/dad8a355.jpg,What type of ports are mentioned?,Charging,0
61K4lJ7cvsL,da/dad8a355.jpg,What surface is the camera lifted from?,Flat,0
81WEcAxxweL,bc/bcd83035.jpg,What is the product advertised?,Beetroot,5
81WEcAxxweL,bc/bcd83035.jpg,What is the weight of the advertised product?,455g,0
81WEcAxxweL,bc/bcd83035.jpg,What kind of nutrition is advertised?,Functional,0
81WEcAxxweL,bc/bcd83035.jpg,What material is specified to be pure?,Beetroot,0
81WEcAxxweL,bc/bcd83035.jpg,How many ounces of fresh beets equal one serving?,Two,0
61Q+luxKlrL,36/3650749d.jpg,What brand phone is this case compatible with?,Oppo,0
61Q+luxKlrL,36/3650749d.jpg,What is the appearance of the design?,Stylish,1
61Q+luxKlrL,36/3650749d.jpg,What material does the case imitate?,Leather,0
61Q+luxKlrL,36/3650749d.jpg,How many camera lenses are visible?,Two,3
61Q+luxKlrL,36/3650749d.jpg,What is the dominant color on the left side?,Red,1
61qGcqpwLQL,0e/0e433762.jpg,Which brand phone is the case for?,Samsung,0
61qGcqpwLQL,0e/0e433762.jpg,What part of the phone does the bezel lift?,Camera,0
61qGcqpwLQL,0e/0e433762.jpg,What is the case's overall style?,Stylish,0
61qGcqpwLQL,0e/0e433762.jpg,What color is the background of the case design?,Yellow,0
61qGcqpwLQL,0e/0e433762.jpg,How many words are in the phrase on the case?,Four,0
71Hr25L1YzL,65/650afe70.jpg,What fabric is the cover made of?,Leatherette,0
71Hr25L1YzL,65/650afe70.jpg,What type of protection does the beanbag have?,Anti-spill,1
71Hr25L1YzL,65/650afe70.jpg,What type of warranty is offered?,Limited,0
71Hr25L1YzL,65/650afe70.jpg,What shape is the beanbag?,Teardrop,0
71Hr25L1YzL,65/650afe70.jpg,How many kilograms of beans are needed?,Two,0
714fTpakAhL,3c/3c36236d.jpg,What bird is featured on the phone case?,Crane,0
714fTpakAhL,3c/3c36236d.jpg,What kind of cutouts are featured?,Volume,0
714fTpakAhL,3c/3c36236d.jpg,What is expressed through the design?,Personality,0
714fTpakAhL,3c/3c36236d.jpg,What type of surface is protected?,Screen,0
714fTpakAhL,3c/3c36236d.jpg,What is the cover's stated warranty?,,0
71Qv-0fKesL,00/009720b7.jpg,What phone model is this case designed for?,Huawei,0
71Qv-0fKesL,00/009720b7.jpg,What material is the back of the case made of?,Hard,2
71Qv-0fKesL,00/009720b7.jpg,How would you describe the design on the case?,Stylish,0
71Qv-0fKesL,00/009720b7.jpg,What type of cutouts are included?,Volume,1
71Qv-0fKesL,00/009720b7.jpg,How many warranties are provided with the case?,Zero,0
71fOnXaol5L,4d/4d87de8f.jpg,What color is the chair?,White,1
71fOnXaol5L,4d/4d87de8f.jpg,What kind of chair is shown?,Office,1
71fOnXaol5L,4d/4d87de8f.jpg,What are the armrests attached to?,Frame,0
71fOnXaol5L,4d/4d87de8f.jpg,What is the base made of?,Metal,2
71fOnXaol5L,4d/4d87de8f.jpg,What are on the bottom of the legs?,Wheels,2
616kfvE5YuL,12/126b6707.jpg,What brand is the depicted phone case for?,Samsung,0
616kfvE5YuL,12/126b6707.jpg,What is the case made of?,Material,0
616kfvE5YuL,12/126b6707.jpg,How are the buttons accessed?,Cutouts,0
616kfvE5YuL,12/126b6707.jpg,What word is printed on the case regarding the need of some people?,High-Five,0
616kfvE5YuL,12/126b6707.jpg,What type of finish does the cover have?,Hard,0
71ZhxSPHKzL,15/15963508.jpg,Which brand of phone is the case designed for?,Lenovo,0
71ZhxSPHKzL,15/15963508.jpg,What is the color of the background?,Blue,1
71ZhxSPHKzL,15/15963508.jpg,What kind of ports have perfect cut-outs?,Charging,0
71ZhxSPHKzL,15/15963508.jpg,What kind of design does the case have?,Stylish,0
71ZhxSPHKzL,15/15963508.jpg,What is raised to protect the camera?,Bezel,0
81OecZInESL,ce/ce146535.jpg,What phone brand is the cover for?,Samsung,2
81OecZInESL,ce/ce146535.jpg,What type of case is it?,Hard,0
81OecZInESL,ce/ce146535.jpg,What style is the design?,Stylish,0
81OecZInESL,ce/ce146535.jpg,Which Samsung Galaxy model is this for?,S7,2
81OecZInESL,ce/ce146535.jpg,What is not included?,Warranty,0
71MTp-twyHL,1e/1edef6ad.jpg,What type of phone is the case for?,Samsung,0
71MTp-twyHL,1e/1edef6ad.jpg,What buttons have cut-outs on the case?,Volume,0
71MTp-twyHL,1e/1edef6ad.jpg,What kind of personality does this case express?,Unique,1
71MTp-twyHL,1e/1edef6ad.jpg,What is the case bezel designed to lift?,Screen,1
71MTp-twyHL,1e/1edef6ad.jpg,How many Galaxy phone models is the case compatible with?,One,0
A1zGA44mLrL,ee/eee160a2.jpg,What is the background's hue?,Grey,1
A1zGA44mLrL,ee/eee160a2.jpg,What shape appears repeatedly?,Arc,1
A1zGA44mLrL,ee/eee160a2.jpg,What describes the line color?,Silver,1
A1zGA44mLrL,ee/eee160a2.jpg,How is the pattern arranged?,Symmetrically,0
A1zGA44mLrL,ee/eee160a2.jpg,What overall impression is conveyed?,Geometric,0
91TFgE9WJyL,88/884afbde.jpg,What material is the insole made of?,Foam,0
91TFgE9WJyL,88/884afbde.jpg,What color are the laces?,Grey,0
91TFgE9WJyL,88/884afbde.jpg,What type of outsole is featured?,Traction,2
91TFgE9WJyL,88/884afbde.jpg,What kind of overlays are present?,Synthetic,0
91TFgE9WJyL,88/884afbde.jpg,What is the brand of the shoe?,Amazon,0
71-aJVwE8cL,bd/bdd6192a.jpg,What color is the topmost visible layer?,Green,5
71-aJVwE8cL,bd/bdd6192a.jpg,What color is the binding around the top layer?,Black,1
71-aJVwE8cL,bd/bdd6192a.jpg,What general shape is the object?,Rectangular,0
71-aJVwE8cL,bd/bdd6192a.jpg,How many distinct layers are visible?,Four,0
71-aJVwE8cL,bd/bdd6192a.jpg,What is the visible texture of the top layer?,Smooth,1
71pAjdzwu-L,50/50b9506c.jpg,What color is the boot's lining?,Red,1
71pAjdzwu-L,50/50b9506c.jpg,What type of footwear is this?,Boot,0
71pAjdzwu-L,50/50b9506c.jpg,What material appears to be the boot's primary component?,Suede,0
71pAjdzwu-L,50/50b9506c.jpg,What color are the shoelaces?,White,0
71pAjdzwu-L,50/50b9506c.jpg,What is the sole's color?,Cream,1
610W9J3NyfL,dc/dcd5c5af.jpg,What gem accents the cross?,Diamond,0
610W9J3NyfL,dc/dcd5c5af.jpg,What color is the metal?,Yellow,1
610W9J3NyfL,dc/dcd5c5af.jpg,What symbol is on the ring?,Cross,0
610W9J3NyfL,dc/dcd5c5af.jpg,How were the rings potentially made?,Handmade,1
610W9J3NyfL,dc/dcd5c5af.jpg,Where were the rings imported from?,Imported,0
71zHNpfit4L,4d/4de70eba.jpg,What material is the back case made from?,Hard,0
71zHNpfit4L,4d/4de70eba.jpg,Which brand phone is this case designed for?,Sony,0
71zHNpfit4L,4d/4de70eba.jpg,What type of ports are cut out?,Charging,0
71zHNpfit4L,4d/4de70eba.jpg,What style is the case design?,Stylish,3
71zHNpfit4L,4d/4de70eba.jpg,How are the buttons described as being accessed?,Easy,0
81+FGwXqOzL,ac/acc7c8b6.jpg,What kind of extract is in the capsules?,Kiwi,1
81+FGwXqOzL,ac/acc7c8b6.jpg,What milligram amount of Actazin Kiwi extract powder is in the supplement?,600,0
81+FGwXqOzL,ac/acc7c8b6.jpg,What kind of capsules are they?,Vegan,0
81+FGwXqOzL,ac/acc7c8b6.jpg,How many capsules are in the container?,Sixty,0
81+FGwXqOzL,ac/acc7c8b6.jpg,What function do these capsules support?,Gastrointestinal,1
81Z2HhrPaOL,8b/8b945e6b.jpg,What material is the back cover?,Hard,1
81Z2HhrPaOL,8b/8b945e6b.jpg,What fruit logo is visible?,Apple,0
81Z2HhrPaOL,8b/8b945e6b.jpg,What item does the case protect?,iPhone,0
81Z2HhrPaOL,8b/8b945e6b.jpg,What number is indicated as part of the model?,Seven,0
81Z2HhrPaOL,8b/8b945e6b.jpg,What pattern is on the case?,Brick,0
7174KqEUEvL,89/89619ca2.jpg,What animal is prominently displayed?,Panda,1
7174KqEUEvL,89/89619ca2.jpg,What color are the pandas besides white?,Black,1
7174KqEUEvL,89/89619ca2.jpg,What phone is the case compatible with?,Itel,1
7174KqEUEvL,89/89619ca2.jpg,What kind of cutouts are there?,Volume,1
7174KqEUEvL,89/89619ca2.jpg,What personality trait does the design express?,Unique,0
61LKi+Zz10L,e0/e047d451.jpg,What is the necklace's material?,Silver,2
61LKi+Zz10L,e0/e047d451.jpg,What object is the necklace?,Pendant,1
61LKi+Zz10L,e0/e047d451.jpg,What kind of stone is on the necklace?,Swarovski,0
61LKi+Zz10L,e0/e047d451.jpg,What is the gemstone's color?,Green,1
61LKi+Zz10L,e0/e047d451.jpg,What is on the necklace?,Chain,0
61rUi5IPxjL,6f/6f150742.jpg,What is the apparent shape of the stone arrangement?,Flower,0
61rUi5IPxjL,6f/6f150742.jpg,What is the color of the stones?,Burgundy,0
61rUi5IPxjL,6f/6f150742.jpg,What material is the ring band likely made of?,Metal,1
61rUi5IPxjL,6f/6f150742.jpg,What shape is the ring band?,Circular,0
61rUi5IPxjL,6f/6f150742.jpg,How many stones are visible on the ring?,Five,1
71AE6MR3kkL,e6/e602dd89.jpg,What brand of phone is the case for?,Oppo,1
71AE6MR3kkL,e6/e602dd89.jpg,What word appears before 'World'?,Mommy's,0
71AE6MR3kkL,e6/e602dd89.jpg,What is the design said to express?,Personality,1
71AE6MR3kkL,e6/e602dd89.jpg,What is raised to lift the screen and camera?,Bezel,0
71AE6MR3kkL,e6/e602dd89.jpg,What is 'fit' for this device?,Snug,0
81Puxv4Z3hL,63/63133fce.jpg,What embellishment is on the hat?,Pom-pom,0
81Puxv4Z3hL,63/63133fce.jpg,What is the texture of the scarf and hat set?,Cozy,0
81Puxv4Z3hL,63/63133fce.jpg,What season is this set designed for?,Winter,0
81Puxv4Z3hL,63/63133fce.jpg,What type of material is the pom-pom?,Fur,1
81Puxv4Z3hL,63/63133fce.jpg,What is the color of the hat and scarf set?,Grey,0
510tpsjC8YL,74/744b8d59.jpg,What percentage of fat is in the milk?,Two,0
510tpsjC8YL,74/744b8d59.jpg,What brand is the milk?,Amazon,0
510tpsjC8YL,74/744b8d59.jpg,What vitamin is found in this milk?,Vitamin,0
